Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Total_Cases_per1M_population,Deaths_per1M_population,Total_Tests,Tests_per1M_population,Population
St. Vincent Grenadines,4905,64,3060.0,1781.0,44029,574,85741.0,769640.0,111404
Sudan,40238,3099,32905.0,4234.0,890,69,238579.0,5279.0,45194436
Suriname,48548,1069,29449.0,18030.0,81792,1801,145862.0,245744.0,593552
Sweden,1168271,14964,1135105.0,18202.0,114737,1470,13154558.0,1291917.0,10182198
Switzerland,867197,11218,822212.0,33767.0,99245,1284,11566572.0,1323715.0,8737965
Syria,42076,2526,25926.0,13624.0,2330,140,103566.0,5735.0,18059157
Taiwan,16380,847,15420.0,113.0,686,35,7246326.0,303529.0,23873571
Tajikistan,17086,124,16960.0,2.0,1740,13,,,9819148
Tanzania,26115,725,,,421,12,,,61967997
Thailand,1875315,18922,1758297.0,98096.0,26778,270,14913135.0,212951.0,70030726
Timor-Leste,19778,121,19605.0,52.0,14635,90,169501.0,125421.0,1351460
Togo,26011,242,25474.0,295.0,3048,28,543576.0,63698.0,8533655
Trinidad and Tobago,56013,1655,49616.0,4742.0,39854,1178,382242.0,271970.0,1405458
Tunisia,712013,25213,685508.0,1292.0,59427,2104,3053773.0,254876.0,11981402
Turkey,7909111,69559,7346279.0,493273.0,92468,813,95211266.0,1113144.0,85533610
UAE,739471,2134,733504.0,3833.0,73596,212,91908560.0,9147256.0,10047665
Uganda,125788,3200,96575.0,26013.0,2641,67,1785306.0,37478.0,47636643
UK,8853227,139834,7198408.0,1514985.0,129517,2046,325510859.0,4762015.0,68355696
Ukraine,2825733,65628,2401705.0,358400.0,65128,1513,14154508.0,326236.0,43387372
Uruguay,392585,6074,384702.0,1809.0,112502,1741,3785389.0,1084766.0,3489589
USA,46497719,759932,36375189.0,9362598.0,139399,2278,692816053.0,2077042.0,333558957
Uzbekistan,184563,1312,180305.0,2946.0,5411,38,1377915.0,40399.0,34107349
Venezuela,402407,4836,384305.0,13266.0,14204,171,3359014.0,118568.0,28329745
Vietnam,896174,21802,810290.0,64082.0,9099,221,42517091.0,431682.0,98491625
Yemen,9711,1858,6309.0,1544.0,316,61,265253.0,8643.0,30689226
Zambia,209648,3660,205873.0,115.0,10999,192,2578545.0,135286.0,19059950
Zimbabwe,132724,4674,127497.0,553.0,8762,309,1490416.0,98393.0,15147568
